customer_id,first_name,last_name,email,birth_year,signup_date,state,customer_tenure_years
0,First_0,Last_0,user0@example.com,1983,2006-02-26,OH,19.5
1,First_1,Last_1,user1@example.com,1997,2015-07-14,TX,10.1
2,First_2,Last_2,user2@example.com,1960,2023-02-13,FL,2.5
3,First_3,Last_3,user3@example.com,1947,2019-09-24,IL,5.9
4,First_4,Last_4,user4@example.com,1952,2012-10-12,OH,12.9
5,First_5,Last_5,user5@example.com,1976,2022-11-23,IL,2.8
6,First_6,Last_6,user6@example.com,1982,2016-09-10,FL,9.0
7,First_7,Last_7,user7@example.com,1990,2022-06-12,IL,3.2
8,First_8,Last_8,user8@example.com,1960,2013-08-27,NY,12.0
9,First_9,Last_9,user9@example.com,1961,2006-04-18,NY,19.4
10,First_10,Last_10,user10@example.com,1962,2008-03-31,NY,17.4
11,First_11,Last_11,user11@example.com,1992,2018-05-07,OH,7.3
12,First_12,Last_12,user12@example.com,1940,2010-07-03,IL,15.2
13,First_13,Last_13,user13@example.com,1947,2019-06-27,IL,6.2
14,First_14,Last_14,user14@example.com,1947,2019-06-18,CA,6.2
15,First_15,Last_15,user15@example.com,1965,2016-02-25,NY,9.5
16,First_16,Last_16,user16@example.com,1972,2019-03-19,OH,6.4
17,First_17,Last_17,user17@example.com,1996,2008-12-22,NY,16.7
18,First_18,Last_18,user18@example.com,1943,2018-02-23,IL,7.5
19,First_19,Last_19,user19@example.com,1965,2016-05-24,NY,9.3
20,First_20,Last_20,user20@example.com,1962,2011-02-11,NC,14.5
21,First_21,Last_21,user21@example.com,1942,2005-12-15,OH,19.7
22,First_22,Last_22,user22@example.com,1999,2005-10-20,OH,19.9
23,First_23,Last_23,user23@example.com,1969,2024-04-09,IL,1.4
24,First_24,Last_24,user24@example.com,1950,2019-04-21,NY,6.4
25,First_25,Last_25,user25@example.com,1965,2007-02-23,MI,18.5
26,First_26,Last_26,user26@example.com,1973,2025-01-14,TX,0.6
27,First_27,Last_27,user27@example.com,1975,2007-01-15,CA,18.6
28,First_28,Last_28,user28@example.com,1995,2012-04-06,FL,13.4
29,First_29,Last_29,user29@example.com,1969,2008-05-13,FL,17.3
30,First_30,Last_30,user30@example.com,1957,2013-07-29,FL,12.1
31,First_31,Last_31,user31@example.com,1998,2023-03-26,PA,2.4
32,First_32,Last_32,user32@example.com,1970,2011-03-03,CA,14.5
33,First_33,Last_33,user33@example.com,1947,2019-07-28,TX,6.1
34,First_34,Last_34,user34@example.com,1957,2022-01-14,NY,3.6
